"is","annee_contrat","num_contrat","titre_contrat","nom_usage","responsable_due","label_odd1","label_odd2","label_odd3","label_tei","label_global_gateway","objectif_general","objectifs_specifiques","resultats","main_media","youtube","website","facebook","instagram","twitter","linkedin","press","folder","fichiers","type_contrat","nature_contrat","mecanisme_financement","instrument_financement","date_fin","date_debut","organisme","membre_consortium_1","membre_consortium_2","membre_consortium_3","membre_consortium_4","membre_consortium_5","membre_consortium_6","membre_consortium_7","membre_consortium_8","budget_ue","budget_global","co_financement","cof_1_nom","cof_1_euros","cof_2_nom","cof_2_euros","cof_3_nom","cof_3_euros","cof_4_nom","cof_4_euros","cof_5_nom","cof_5_euros","autres_contributions","num_decision","dac_code","thematique","tei","secteur","region","commune","district","reference_opsys","public","relais_com_partenaire",
"FED",2020,415978,"Contrat de services pour communications et visibilité",,"DELERS PHILIPPE","ODD n°17 - Partenariats pour la réalisation des objectifs",,,,,,,,,,,,,,,,"394540","../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/EoFBrQYBQKZGlsqjD_iWrAABaI6-c2aJyIjZWfJRlgNW_Q?e=QWc1H8","Madagascar","Mise en oeuvre","Services",,2024-11-07,2020-05-08,"NOVO-COMM SARL",,,,,,,,,426920,426920,,,,,,,,,,,,,39818,22010,"Société de la connaissance et de l’information",,"Radio, télévision, presse écrite","Antananarivo",,,"PCC-415978","Non","Mandimby Heriniaina ANDRIAMBOLOLONA, Directeur de Parc - mandimby_dpAKF@mnparks.mg",
"CSO-LA",2022,433315,"Mananjary Recovery Initiative for Natural Accidents","MANARINA","DELERS PHILIPPE","ODD n°10 - Inégalités réduites","ODD n°5 - Égalité entre les sexes",,,,"Contribuer à la résilience du Sud Est de Madagascar face aux catastrophes à travers le renforcement des services de base et des Organisations de la Société civile en incorporant une approche genre","Objectif spécifique (OS) 1 : Améliorer les conditions de vie, l'accès aux soins de santé de base, à la santé sexuelle et reproductive et à la prévention et la prise en charge des violences basées sur le genre dans le district de Mananjary

Objectif spécifique (OS) 2 : Renforcer les OSC pour améliorer les mécanismes communautaires de prévention/réponse aux VBG  

Objectif spécifique (OS) 3 : Renforcer les OSC pour améliorer la résilience des communautés cibles sur les techniques de construction des cases traditionnelles
","OS1R1 : Les OSC en charge de la gestion des intrants sont renforcées pour garantir leur disponibilité y compris en période post-cyclonique
OS1R2 : L'accès à la santé sexuelle et reproductive (SSR) est renforcé sur le district
OS1R3 : La prise en charge VBG est disponible sur le district
OS1R4 : les infrastructures endommagées par le cyclone sont réhabilitées et permettent un accès aux services de base 
OS1R5 : les cases d’habitation des personnes les plus vulnérables sont réhabilitées/reconstruites via un appui cash conditionnel et leurs conditions de vie sont améliorées

OS2R1 : Les OSC et les acteurs clés sont identifiés et renforcés
OS2R2 : Les groupements communautaires sont acteurs de la prévention/réponse aux VBG

OS3R1 : Les capacités des artisans locaux (charpentiers) et des volontaires de la CRM sont renforcées en matière de techniques constructives de cases traditionnelles améliorées.
OS3R2 : Les ménages connaissent et appliquent les techniques de renforcement de cases traditionnelles",,,,,,,,"https://actu.orange.mg/lunion-europeenne-va-financer-le-projet-manarina-a-hauteur-de-2-millions-deuros/","433315","../../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/EuzdHwNSWyFMmXcn1xHMJ-cBnNUItD8P6CWlYa-VAQIiwA?e=jBtX9I","Madagascar","Subvention","Subvention pour action",,2024-06-30,2022-07-01,"Médecins du Monde","Aide internationale de la Croix-Rouge luxembourgeoise","Croix-Rouge Malagasy",,,,,,,2007457,2007457,,,,,,,,,,,,,43480,12220,"Réponse d'urgence",,"Participation démocratique et société civile","Vatovavy,","Sandrohy, Antsenavolo, Ambalamainty, Marohita, Ambohistra Est, Matsara Lefaka","Mananjary;",,"Oui","M. Hermann VAN BOEMMEL, Chef de Projet PRADA - hermann.boemmel@giz.de ",
"FED",2022,437561,"Appui au renforcement du dispositif de surveillance et de contrôle de la qualité et conformité sanitaire et phytosanitaire des produits agricoles et agroalimentaires à Madagascar","JUMELAGE","DRUGUET STEPHANIE","ODD n°12 - Consommation et production responsables","ODD n°2 - Faim « Zéro »",,,,"Renforcer les capacités du Ministère de l’Agriculture et de l’Elevage (MINAE) de Madagascar dans le domaine sanitaire et phyto-sanitaire. Il s’agira notamment de renforcer le dispositif de surveillance et de contrôle de la qualité sanitaire et phytosanitaire des produits agricoles et agroalimentaires (végétaux et animaux). ","Sécuriser et accroître les échanges commerciaux de produits agricoles et agro-alimentaires entre Madagascar et les îles de la Région Ouest de l'Océan Indien, ainsi qu’avec l’UE

Améliorer les performances du secteur agricole à Madagascar en matière de qualité et de conformité sanitaire et phytosanitaire des produits de l’agriculture et de l’élevage
",,,,,,,,,,"419055","../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/EogfIJywPi9PvumqrBWbUJ4B20xVcy1i1ndA9-TqKgAzUg?e=GfBSKS","Ile Maurice","Subvention","Subvention pour action",,2024-08-31,2022-09-01,"VetAgro Sup – Institut national d’enseignement supérieur et de recherche en alimentation, santé animale, sciences agronomiques et de l’environnement",,,,,,,,,1946150.94,1946150.94,,,,,,,,,,,,,40081,31110,"Développement rural",,"Protection des plantes et des récoltes, lutte antiacridienne","Alaotra Mangoro
Amoron I Mania
Analamanga
Analanjirofo
Androy
Anosy
Atsimo Andrefana
Atsimo Atsinanana
Atsinanana
Betsiboka
Boeny
Bongolava
Diana
Haute Matsiatra
Ihorombe
Itasy
Melaky
Menabe
Sava
Sofia
Vakinankaratra
Vatovavy
Fitovinany
Ambatosoa",,,"PCC-434561","Oui","Mme Fanja RAHANTAMALALA, Directeur Général – dg@fda.mg ",
"FED",2021,427538,"Sécurité alimentaire et nutrition par l'intensification et la diversification agroécologiques","SANIDA","DRUGUET STEPHANIE","ODD n°12 - Consommation et production responsables","ODD n°2 - Faim « Zéro »",,,,"Améliorer la sécurité alimentaire et la nutrition de 10.000 exploitations agricoles familiales vulnérables par l'intensification / diversification agro-écologique, en suscitant l'adoption progressive de meilleures pratiques agricoles et agro-alimentaires au niveau des populations locales dans 8 districes","1) Renforcer durablement la productivité des exploitations agricoles familiales

2) Augmenter et diversifier les revenus agricoles des ménages

3) Améliorer les pratiques nutritionnelles des ménages","R1. Ressources vivrières augmentées

R2 Infrastructures hydroagricoles et de stockage améliorées

R3 Foncier sécurisé

R4 Augmentation de patrimoine des ménages

R5 Accès amélioré aux services de microfinance

R6 Agriculture contractuelle et accès amélioré aux marchés

R7 Savoir-faire culinaire et pratiques nutritionnelles renforcés

R8 Proportion du revenu rapporté comme étant consacrée à l’alimentation par les ménages appuyés par l’action

R9 Accès amélioré au suivi nutritionnel des enfants et femmes enceintes.",,,"https://www.osdrm.mg/",,,,,,"422791","../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/EhwwjW2euSxNtAy1c7gzzTIBNaZqfc5DZRnjhv4RgSR-tg?e=J0mmLX","Ile Maurice","Subvention","Subvention pour action",,2024-12-31,2022-01-01,"Aga Khan Foundation - Royaume-Uni","PAMF - Première Agence de Microfinance",,,,,,,,1350000,1500000,,"Aga Khan Foundation - Royaume-Uni",150000,,,,,,,,,"Aga Khan Foundation UK",40081,43072,"Développement rural","N/A ","Household food security programmes","Analamanga,Itasy,Vakinankaratra ","Ambongamarina ; Anjozorobe ; Mangamila ; Alatsinainy Ambazaha ; Ambatofahavalo ; Ampahitrosy ; Androhibe ; Antanetikely ; Tsiafahy ; Ambohimang Rova ; Ambohitrabiby ; Anosy Avaratra ; Fieferana ; Sabotsy Namehana ; Talata Volonondry ; Alarobia; Ambanitsena ; Nandihizana Carion ; Sadabe ; Sambaina ; Ambatomirahavavy; Ambohimandry ; Ambohipandrano ; Arivonimamo ; Imerintsiatosika ; Morarano  ; Analavory ; Manazary ; Miarinarivo II ; Ambatolampy ; Ambohipihaonana  ; Andriambilany ; Morarano ; Ambohimandroso ; Antsapanimahazo ; Miandrarivo ; Vinaninony Atsimo",,"PCC-427538","Oui","M. Michel CHANTRY, Chef de Mission - Michel.Chantry@afci.de",
"FED",2021,427422,"Réduction de la prévalence de la malnutrition chronique chez les enfants de moins de 5 ans vivant en zone rurale dans la région Analamanga",,"DRUGUET STEPHANIE","ODD n°2 - Faim « Zéro »",,,,,"L'action vise à améliorer la situation nutritionnelle des femmes en âge de procréer, des adolescentes et des enfants de moins de 5 ans dans 3 districts ruraux de la région Analamanga","(i) Renforcement des capacités des ressources humaines en santé (prévention, dépistage, prise en charge de la malnutrition)

(ii) Actions de sensibilisation communautaire sensibles au genre

(iii) Actions favorisant les changements de pratiques en matière de diversification alimentaire

(iv) Accompagnement d’une  approche intégrée, multisectorielle et participative de la lutte contre la malnutrition au niveau communal",,,,,,,,,,"423088","../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/EvzRQ76lJwdKps_zv5OxmTgBtGCSbl8H58mEUGbtThCKCg?e=uHBtOF","Ile Maurice","Subvention","Subvention pour action",,2024-12-31,2022-01-01,"Santé Sud",,,,,,,,,591300,591300,,,,,,,,,,,,,40081,12240,"Développement rural","N/A ","Nutrition de base","Analamanga",,,"PCC-427422","Oui","M. Ny Hasina RAKOTOVAO, Régisseur Titulaire - nyhasina.rakotovaol@gmail.com ",
"FED",2021,427394,"Appui à la prévention du retard de croissance dans les régions rurales d’Analamanga, Bongolava et Itasy","SANOI MIFAMPIBABY","DRUGUET STEPHANIE","ODD n°2 - Faim « Zéro »","ODD n°3 - Bonne santé et bien-être",,,,"Réduire la prévalence de la malnutrition chronique chez les enfants de moins 5 ans dans les zones d’intervention en améliorant les pratiques de soins infantiles durant la fenêtre d’opportunité des 1.000 jours",,,,,,,,,,,"426875","../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/En9g8F40FwxEgLDqN2IJ7owBS_T_Rlfsgt_-cRjKDeIuGQ?e=8xPxzQ","Ile Maurice","Subvention","Subvention pour action",,2025-02-28,2021-11-01,"ACF - Action Contre la Faim","AIM - Action Intercoopération Madagascar",,,,,,,,600000,700000,,"ACF - Action Contre la Faim",100000,,,,,,,,,,40081,12240,"Développement rural","N/A ","Nutrition de base","Analamanga, Bongolava, Itasy ",,"Miarinarivo;Arivonimamo;Ankazobe;Tsiroanomandidy;Ambohidratrimo;","PCC-427394","Oui","M. Herilalaina Olaf RANAIVOSON, Directeur Général - ranherol@yahoo.fr",
"FED",2021,427424,"Mobilisation des organisations paysannes et des communautés rurales pour promouvoir une agriculture responsable, résiliente et contribuant à la sécurité alimentaire et nutritionnelle des régions Analamanga, Bongolava et Itasy","SANBONAI","DRUGUET STEPHANIE","ODD n°2 - Faim « Zéro »","ODD n°12 - Consommation et production responsables",,,,"Améliorer et diversifier la production agricole pour une meilleure sécurité alimentaire et nutritionnelle des ménages vulnérables dans les Régions Analamanga, Itasy et Bongolava",,,,,,"https://www.facebook.com/sanbonai/about",,,,,"427394","../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/EgxRUpbB0IlOnH4VJMeywMgBV8UiEGCrC4q2_zQhHvlFrw?e=8cfDQ7","Ile Maurice","Subvention","Subvention pour action",,2025-02-28,2021-11-01,"Afdi - Agriculteurs Français et Développement International","Réseau SOA (Syndicat des Organisations Agricoles)","ANAE - Association Natioinale d'Actions Environnementales",,,,,,,1280097,1422615,,"Afdi - Agriculteurs Français et Développement International",142518,,,,,,,,,,40081,31165,"Développement rural","N/A ","Développement agricole alternatif","Analamanga,Bongolava,Itasy,",,"Ambohidratrimo;Ankazobe;Manjakandriana;Tsiroanomandidy;Fenoarivo Be;Arivonimamo;Soavinandriana;Antananarivo Atsimondrano;","PCC-427424","Oui","M. Jean Philippe JARRY, Chef de Mission - JeanPhilippe.Jarry@afci.de",
"FED",2021,427423,"Sécurité alimentaire et nutritionnelle des ménages agricoles dans la région de Vakinankaratra","SANUVA","DRUGUET STEPHANIE","ODD n°2 - Faim « Zéro »",,,,,"Garantir la sécurité alimentaire et nutritionnelle des ménages agricoles dans la région de Vakinankaratra","OS 1 : Augmenter et diversifier durablement les productions agricoles par l’intensification agro-écologique des exploitations agricoles familiales

OS 2 : Améliorer la valorisation des productions et le fonctionnement de filières commerciales

OS 3 : Améliorer durablement l’alimentation des familles vulnérables en utilisant les produits des exploitations agricoles","R1 Les exploitations agricoles familiales (EAF) ont accès aux services fournis par les opérateurs d’appui au secteur

R2 Les performances agroenvironnementales et socio-économiques des EAF sont durablement améliorées et leurs productions sont accrues et diversifiées

R3 Les acteurs des filières commerciales ""porteuses"" profitent de conditions de commercialisation durablement améliorées

R4 Les productions agricoles (autoconsommées et commercialisées) des exploitations sont sécurisées et mieux valorisées

R5 Les habitudes alimentaires et de nutrition des ménages vulnérables sont améliorées en tenant compte de la situation des familles et des potentialités locales en produits de qualité

R6. L'autonomie et la résilience des ménages sont durablement renforcées grâce à la mutualisation de moyens et la mise en œuvre d'activités en commun

R7 Les acquis en matière de renforcement des liens entre agriculture et nutrition sont capitalisés et partagés avec les autres organisations et projets/programmes travaillant dans le domaine

Au total : 7 980 familles vulnérables appuyées dans le développement de leurs activités agricoles

16 organisations professionnelles agricoles renforcées

2.280 mères volontaires avec enfants malnutris accompagnées pour améliorer leur situation nutritionnelle",,,"https://agrisud.int.norsys-afrique.ma/web/sanuva-securite-alimentaire-et-nutritionnelle-des-menages-agricoles-dans-la-region-du",,,,,,"427423","../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/Emfpd59nNwFPovjti5VDe2kBBF-lC10gg1IimA9XADP2PQ?e=Khfi2V","Ile Maurice","Subvention","Subvention pour action",,2025-03-05,2021-11-06,"Agrisud International","AVSF - Agronomes & Vétérinaires Sans Frontières","APDRA Pisciculture Paysanne","GSDM, Professionnels de l'Agroécologie",,,,,,1500000,1666667,,"Agrisud International",166667,,,,,,,,,,40081,43072,"Développement rural","N/A ","Household food security programmes","Vakinankaratra,","Ambohimandroso ; Antanifotsy ; Soamanandrariny ; Ambano ; Andranomanelatra ; Antsoatany ; BelazaoIbity ; Manandona ; Vinaninkarena ; Alakamisy Anativato ; Ambatonikonilahy ; Antohobe ; Antsotso ; Mandritsara ; Soavina",,"PCC-427423","Oui","M. Olivier LE GUILLOU, Directeur Pays  - dp@mg-actioncontrelafaim.org ",
"FED",2021,427537,"Renforcer la résilience pour améliorer la sécurité alimentaire, les revenus et la nutrition (programme régional Comores et Madagascar)",,"DRUGUET STEPHANIE","ODD n°2 - Faim « Zéro »","ODD n°1 - Pas de pauvreté",,,,"Améliorer la sécurité alimentaire et nutritionnelle par la promotion de pratiques agricoles agro-écologiques améliorées et diversifiées et de variétés améliorées de cultures nutritives","1. Diversifier la production agricole par l'introduction de nouveaux produits et augmenter la productivité des cultures ciblées dans les systèmes diversifiés

2. Promouvoir les pratiques agricoles agro-écologiques résistantes au climat

3. Renforcer la structuration des producteurs et améliorer leur accès aux marchés

4. Améliorer la nutrition des groupes vulnérables et l'inclusion sociale dans les communautés cibles",,,,,,,,,,"427537","../../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/EpBpbOKFfBZCv03lRwVRtr0BFkoTpSLSMCuM1pmCAd_NUQ?e=rmdWxv",,,,,2025-02-28,2023-01-01,"IITA - International Institute of Tropical Agriculture","Africa Rice Center",,,,,,,,667500,667500,,,,,,,,,,,,,,,"Développement rural",,,,,,,"Oui","Chloé WAGNER <chloe.wagner@atia-ong.org>; Direction Kozama <direction.kozama@gmail.com>",
"FED",2022,434561,"DOUBLON A SUPPRIMER",,"DRUGUET STEPHANIE","ODD 2",,,,,,,,,,,,,,,,"434561","../../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/EvUDgqSn6k9Is9VEHYAxkIUBwO93MuQQdatOyKPWwqBFmw?e=UQpivv","Île Maurice","Subvention","Jumelage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Appui au secteur privé et au commerce",,,,,,,"Non","M. Njara RAVONISON, Directeur Gérant – gerco.mada@gmail.com",
"FED",2021,420574,"Devis programme, programme complementaire d'appui à l'ordonnateur national (PCAON)","DP PCAON","EULADE MBONEYE","ODD n°17 - Partenariats pour la réalisation des objectifs",,,,,,,,,,,,,,,,"428434","../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/EvnzGPWOBopGim5s369GnygBiW3GvM9tY3dA1hRmzFkwwg?e=gMeWOO","Madagascar","Mise en oeuvre","Pro forma registration (Program Estimates, Budget Support)",,2025-03-31,2021-06-30,"République de Madagascar",,,,,,,,,959996.13,959996.13,,,,,,,,,,,,,42116,15110,"Bonne gouvernance et redevabilité",,,"national",,,"PCC-420574","Non","M. Nicolas PETITJEAN, Directeur Général - npetitjean@moov.mg ",
"FOOD",2021,422791,"Démarches intégrées et accompagnement pour une agriculture familiale à Madagascar innovante et résiliente aux changements climatiques","DINAAMICC","EULADE MBONEYE","ODD n°2 - Faim « Zéro »","ODD n°1 - Pas de pauvreté",,,,"Contribuer à réduire la pauvreté et l'insécurité alimentaire et nutritionelle des communautés rurales des hautes terres centrales de Madagascar","Contribuer à réduire la vulnérabilité des exploitations agricoles familiales (EAF) des hautes terres centrales aux évolutions climatiques et environnementales par la promotion de systèmes de production performants, durables et mieux adaptés.","R1:	Une connaissance approfondie des situations et des contraintes des Exploitations Agricoles Familiales notamment dues au changement climatique, ainsi que des intérêts et des contraintes de certaines actions d’adaptation mises en œuvre, est acquise et partagée par les acteurs du développement et de la recherche

R2: Des pratiques permettant aux EAF d'être plus résilientes et plus durables dans leur environnement naturel sont co-développées avec les paysans et les OPs par les acteurs de la recherche et du développement

R3: Des innovations pertinentes sont promues auprès d’un grand nombre d’exploitations familiales agricoles et d'organisations paysannes

R4: Les capacités des OPs et des acteurs de la recherche et du développement à aider le monde rural à s’adapter aux évolutions climatiques et environnementales sont renforcées","https://ewatch-carto.pro/lizmap/index.php/view/map/?repository=cartomada&project=DINAMAP","https://www.youtube.com/watch?v=-2HZk8GGn7E","https://dinaamicc.cirad.fr/"," https://www.facebook.com/profile.php?id=100085054875397"," "," https://twitter.com/dinaamicc"," ","https://www.dp-spad.org/actualites/demarrage-du-projet-dinaamicc","433223","../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/Eszvc3rhe0NAr8RaZQCtrwwBrnyKJUfy00UrUcN5rrnlmA?e=q5vTxr","Madagascar","Subvention","Subvention pour action",,2026-02-01,2022-03-01,"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",,,,,,,,,4149956,4422717.5,,"CIRAD - Centre de coopération internationale en recherche agronomique pour le développement",272761.5,,,,,,,,,,42447,31120,"Développement rural","PTF
OSC-ONG","Développement agricole","Analamanga,Itasy,Vakinankaratra","ANALAMANGA
Ambongamarina
Anjozorobe
Betatao
Mangamila

ITASY
Ampahimanga
Arivonimamo II
Imeritsiatosika

VAKINANKARATRA
Ambohibary
Andranomanelatra
Ambano
Manandona
Soanindrariny
Ambohijato Mandritsara
Antsoso
Faratsiho",," PCC-422791","Oui","N/A",
"CSO-LA",2018,403690,"Renforcement de l'engagement des hommes dans la lutte contre les violences basées sur le genre dans les régions Analamanga et Menabe","SAHALA","GARCIA NOGUERA MARIA EUGENIA","ODD n°5 - Égalité entre les sexes",,,,,"Soutenir la réalisation de la stratégie nationale de lutte contre les violences basées sur le genre à Madagascar, ainsi que la concrétisation du 5ème Objectif du Développement Durable qui est de ""parvenir à l’égalité des sexes et autonomiser toutes les femmes et les filles tout en contribuant à la réduction du taux de violences, dans toutes ses formes, faites aux femmes et aux filles"" à Madagascar ». ","1. Renforcer l’engagement des hommes dans la région Analamanga dans la lutte contre les violences basées sur le genre

2. Faire adhérer les hommes de la région Menabe à l’importance de la lutte contre les violences basées sur le genre","1. Les services d'écoute et d'accompagnement psychologique pour les hommes sont connus du public

2. Les services d'écoute et d'accompagnement psychologique pour les hommes sont fréquentés par les auteurs de violence

3. Une nouvelle pratique, cassant tous les messages sexistes et discriminatoires, est instaurée dans les médias

4. Un cadre légal est créé auprès du district Antananarivo Renivohitra, obligeant chaque homme auteur de violence à se faire accompagner",,,"http://www.c-for-c.org/",,,,,"https://www.tiatanindrazana.mg/actualites/resaka-miralenta-mpanao-gazety-am-polony-indray-no-nahazo-fiofanana-omaly-55804.php","414631","../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/EidSXh8NZbtFsXxSY4oQ2ZIBmR5dGLbFyh0FN1_6ASPdtg?e=Dae0HA","Madagascar","Subvention","Subvention pour action",,2024-01-31,2019-02-01,"Capacity-building for communities (C-for-C)",,,,,,,,,457815,481910,,"Capacity-building for communities (C-for-C)",24095,,,,,,,,,,39661,15150,"Egalité Femmes – Hommes",,"Participation démocratique et société civile","Analamanga,Menabe,",,"Antananarivo I;Antananarivo II;Antananarivo III;Antananarivo IV;Antananarivo V;Antananarivo VI;Antananarivo Atsimondrano;Antananarivo Avaradrano;Ambohidratrimo;Ankazobe;Anjozorobe;Andramasina;Manjakandriana;Morondava;","PCC-403690","Oui",,
"CSO-LA",2018,403904,"Renforcement de la protection des Droits de la femme et de l'enfant et accompagnement des jeunes pour une croissance économique progressive dans la région d'Atsimo Andrefana",,"GARCIA NOGUERA MARIA EUGENIA","ODD n°5 - Égalité entre les sexes",,,"Investir dans la Jeunesse",,"Renforcer la protection des Droits de la femme et de l’enfant et accompagner les jeunes et les membres de groupements locaux dans le développement d’activités socioéconomiques pérennes dans les trois districts de la région Atsimo Andrefana (Tuléar, Betioky et Ampanihy)","1. Accompagner 30 jeunes et 300 membres de groupements des femmes et d'organisations paysannes existantes dans un processus de développement d’activités génératrices de revenus

2. Maintenir des conventions communautaires de protection des Droits des enfants et des femmes et plaidoyer pour leur extension dans d'autres communautés

3. Augmenter le nombre de femmes, d'hommes et de communautés locales qui estiment que leurs droits sont reconnus et protégés ","1. Les activités génératrices de revenus (AGR) de 30 jeunes et de 300 membres de groupements des femmes et des organisations paysannes existantes sont  mises en place, rentabilisées et stables

2. Des conventions communautaires de protection des Droits des enfants et des femmes sont maintenues et d'autres sont mises en place dans de nouvelles communautés

3. L'accès de familles vulnérables aux services sociaux de base est facilité",,,,,,,,,"414938","../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/EhxokiarNPhPkgYp5IM4bhABxJd7kQe1L1BuR3-iKnuY_A?e=5WUriz","Madagascar","Subvention","Subvention pour action",,2024-01-31,2019-02-01,"SOS Villages d'Enfants Madagascar",,,,,,,,,522500,550000,,"SOS Villages d'Enfants Madagascar",27500,,,,,,,,,,39661,15150,"Egalité Femmes – Hommes",,"Participation démocratique et société civile","Antsimo Adrefana",,,"PCC-403904","Oui","Irma HERINIRINA Régisseur Adjoint UCS AFAFI Sud irma.afafisud@gmail.com",
"FED",2022,430054,"Assistance technique à la mise en œuvre du programme d'appui à l’émancipation de la femme et lutte contre la violence basée sur le genre à Madagascar",,"GARCIA NOGUERA MARIA EUGENIA","ODD n°5 - Égalité entre les sexes",,,,,"Améliorer l’autonomisation des femmes à Madagascar, notamment remédier à l’absence de voix, de choix, de moyens et la violence basée sur le genre","OS1:La prévention et la lutte contre toutes les formes de violence à l’égard des femmes et des filles sont améliorées
OS2.	Une participation des femmes accrue dans les domaines politique, social, économique et public

 

","R1: La prévention et la lutte contre toutes les formes de violence à l’égard des femmes et des filles sont améliorées

R2 : Une participation des femmes accrue dans les domaines politique, social, économique et public 

",,,,,,,,,"419090","../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/Em5av9fV-yZEhdAQYCt-AEcBLi70f6Bij0pNTag7-CZ2lg?e=z6VToD","Madagascar","Mise en oeuvre","Services",,2024-09-04,2022-09-05,"PACE - GOPA Partners in Action for Change and Engagement","Business and Strategies in Europe S.A. (B&S Europe)",,,,,,,,1328000,1328000,,,,,,,,,,,,,41912,15180,"Egalité Femmes – Hommes",,"Participation démocratique et société civile","SAVA,DIANA , ANALAMANGA, IROHOMBE,SOFIA,BOENY",,,"PCC-430054","Non","M. Tendro RADANIELINA, Coordinateur du Projet - rtendro@hotmail.com",
"NDICI",2022,433407,"Renforcer et pérenniser les acquis et l'engagement de l'Observatoire SAFIDY pour des élections intègres et crédibles","SAFIDY MAHARITRA","GARCIA NOGUERA MARIA EUGENIA","ODD n°16 - Paix, justice et institutions efficaces",,,,,"Maintenir et renforcer les acquis démocratiques et la paix lors du processus électoral ","1. Les acquis et l’engagement des Organisations de la société civile et des citoyens notamment des Jeunes, des femmes et des personnes en situation de handicap dans l’amélioration du processus électoral sont maintenus

2. Les OSC (notamment des jeunes, des femmes et des PSH) et les autres acteurs sont renforcés et organisés dans l'éducation citoyenne et électorale

3. La société civile engage les acteurs électoraux dans la mise en œuvre des recommandations d’amélioration faites par les  observateurs électoraux 
(MOUE, SAFIDY)","- Outils (Stratégie; manuel et kits) d’éducation électorale
- Campagnes d’éducation électorale mises en œuvre par les OSC et d’autres acteurs
- Série d’émissions / articles / reportages avec les médias
- Association SAFIDY fonctionnelle disposant de tous les Outils stratégiques et de gestion
- Suivi des réalisations des promesses électorales
- Monitoring social des Institutions et acteurs engagés dans les élections
- Observation des élections présidentielles
- Suivi des contentieux électoraux",,,"https://safidy-observatoire.net/",,,,,"https://docs.google.com/spreadsheets/d/1aG-z6sI-ZnYdrepTf2lPjC0pT7cZdkaj/edit?","433407","../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/EqJP4oDqcN9DogtATvW-WKMBuzps5xdtmxk5KMJlJ44uLQ?e=bGKPY4","Madagascar","Subvention","Subvention pour action",,2024-11-21,2022-11-22,"SAFIDY - Sampana Anaraha-Maso ny Fifidianana Ivon'ny Demokrasia Ifarimbonana (Observatoire des élections, au centre de la démocratie participative)",,,,,,,,,900000,900000,,,,,,,,,,,,,"043-480",,"Démocratie et Droits Humains",,"ELECTIONS","Alaotra-Mangoro,Amoron'i Mania,Analamanga,Analanjirofo,Androy,Anôsy,Atsimo-Andrefana,Atsimo-Atsinanana,Atsinanana,Betsiboka,Boeny,Bongolava,Diana,Haute Matsiatra,Ihorombe,Itasy,Melaky,Menabe,Sava,Sofia,Vakinankaratra,Vatovavy Fitovinany,Ambatosoa,",,"Miandrivazo;Mahabo;Manja;Belo surTsiribihina;Morondava;Betroka;Taolagnaro;Amboasary;Tsihombe;Bekily;Beloha;Ambovombe Androy;Morombe;Sakaraha;Ankazoabo;Betioky;Beroroha;Benenitra;Ampanihy;Toliary II;Toliary I;Besalampy;Antsalova;Ambatomainty;Morafenobe;Maintirano;Port Bergé;Mandritsara;Mampikony;Befandriana nord;Bealanana;Analalava;Antsohihy;Tsaratanàna;Kandreho;Maevatanàna;Mitsinjo;Soalala;Marovoay;Ambato Boeny;Mahajanga II;Mahajanga I;Ivohibe;Iakora;Ihosy;Midongy atsimo;Befotaka;Vondrozo;Vangaindrano;Farafangana;Vohipeno;Nosy Varika;Ikongo;Ifanadiana;Mananjary;Manakara;Manandriana;Ambatofinandrahana;Fandriana;Ambositra;Ikalamavony;Ambohimahasoa;Ambalavao;Isandra;Lalangina;Vohibato;Fianarantsoa I;Andapa;Vohemar;Antalaha;Sambava;Ambilobe;Ambanja;Antsiranana II;Antsiranana I;Soanierana Ivongo;Maroantsetra;Vavatenina;Mananara nord;Fénérive Est;Anosibe an’Ala;Andilamena;Moramanga;Amparafaravola;Ambatondrazaka;Vatomandry;Marolambo;Mahanoro;Brickaville;Antanambao Manampotsy;Toamasina II;Toamasina I;Mandoto;Faratsiho;Betafo;Antanifotsy;Ambatolampy;Antsirabe II;Antsirabe I;Soavinandriana;Arivonimamo;Miarinarivo;Fenoarivo Be;Tsiroanomandidy;Manjakandriana;Andramasina;Anjozorobe;Ankazobe;Antananarivo Avaradrano;Ambohidratrimo;Antananarivo Atsimondrano;Antananarivo VI;Antananarivo V;Antananarivo IV;Antananarivo III;Antananarivo II;Antananarivo I;","PC-17576","Oui","M. Denis LESUEUR, Chef de Mission - atrindra.cdm@gmail.com ",
